No,日期,到达人数,目的地,共乘序号,到达时间（验票时间）,上车时间,lng,lat
550,2018/4/27,1,泰丰国际广场,1,9:02,9:21,104.066153,30.668529
551,2018/4/27,2,汉庭酒店盐市口店,2,10:15,10:30,104.069473,30.653757
552,2018/4/27,1,希岸酒店(中环优品道店),2,10:07,10:30,104.007483,30.66269
553,2018/4/27,2,桔子酒店精选(成都顺城店),3,10:18,10:31,104.072594,30.666769
554,2018/4/27,4,成都繁星我们国际青年旅舍,4,11:24,11:36,104.082622,30.671927
555,2018/4/27,1,祥福苑大厦,5,12:18,12:42,104.06491,30.620841
556,2018/4/27,1,南城都汇,5,12:19,12:42,104.048007,30.589758
557,2018/4/27,1,成都胖圈青年旅舍杜甫草堂店,6,12:40,13:04,104.029036,30.662328
558,2018/4/27,4,瑞成名人酒店,6,12:45,13:04,104.065697,30.670023
559,2018/4/27,1,华润凤凰城,7,12:52,13:16,104.048456,30.552519
560,2018/4/27,1,金科圣嘉公寓,8,12:54,13:04,104.103494,30.717045
561,2018/4/27,1,曦城,9,13:25,13:30,104.05349,30.67667
562,2018/4/27,1,正成财富ID,10,13:26,13:55,104.080583,30.660542
563,2018/4/27,2,成都索菲斯锦苑宾馆,11,13:11,13:25,104.070604,30.676905
564,2018/4/27,1,成都朴宿pusuhomestay,12,14:52,15:15,104.05942,30.64933
565,2018/4/27,1,成都途乐公寓(宽窄巷子店),12,15:08,15:15,104.054378,30.660553
566,2018/4/27,1,金科圣嘉公寓,13,16:09,16:33,104.103494,30.717045
567,2018/4/27,1,金科圣嘉公寓,13,16:17,16:33,104.103494,30.717045
568,2018/4/27,1,成都雅舍精品酒店,14,16:59,17:26,104.060981,30.583899
569,2018/4/27,2,嘉好·弗斯达酒店文殊院店,14,17:09,17:26,104.068682,30.670769
570,2018/4/27,1,外滩,15,17:27,17:50,104.0923,30.64028
571,2018/4/27,2,书院街道,16,18:24,18:33,104.08721,30.65888
572,2018/4/27,1,成华区双桥子社区卫生服务中心,16,18:13,18:33,104.109021,30.65321
573,2018/4/27,1,天悦城,17,19:35,20:04,104.055914,30.723878
574,2018/4/27,1,ifs国际金融中心三号办公楼,18,19:12,19:36,104.082321,30.654854
575,2018/4/27,1,万达锦华城,19,19:59,20:17,104.095337,30.620195
576,2018/4/27,4,成都远方之家连锁公寓新会展店,20,20:00,20:07,104.073715,30.558354
577,2018/4/27,2,澳林春天,21,20:24,20:37,104.036901,30.689618
578,2018/4/27,2,泰合索菲特大饭店,22,20:22,20:39,104.068727,30.647337
579,2018/4/27,1,万象城,22,20:22,20:39,104.115434,30.649596
