No,日期,到达人数,目的地,共乘序号,到达时间（验票时间）,上车时间,lng,lat
91,2018/4/21,1,首座万豪酒店,1,9:47,10:03,104.068868,30.586267
92,2018/4/21,1,环球汇天誉蔚蓝,2,10:03,10:15,104.11275,30.6355
93,2018/4/21,2,新世纪环球购物广场,3,10:40,11:06,104.063392,30.568751
94,2018/4/21,1,紫东阳光一期,4,11:12,11:32,104.111194,30.646022
95,2018/4/21,1,锦城宽窄精品主题服务公寓（原成都帽美宽窄精品体验公寓）,4,11:27,11:32,104.05983,30.675714
96,2018/4/21,1,琉璃一街站,5,11:47,12:19,104.09588,30.60427
97,2018/4/21,4,一路向北青年旅社,6,12:48,13:07,104.068665,30.653902
98,2018/4/21,4,哈斯顿酒店,7,13:16,13:28,104.06972,30.66629
99,2018/4/21,2,联森酒店(宽窄巷子店),8,13:31,13:56,104.04314,30.66856
100,2018/4/21,2,春熙路南端步行街,9,14:26,14:49,104.078328,30.655385
101,2018/4/21,2,蓉城云熙精品度假公寓,10,15:51,16:15,104.071335,30.669462
102,2018/4/21,2,宽窄芙蓉精品度假公寓,11,15:56,16:15,104.048882,30.66893
103,2018/4/21,2,宽窄芙蓉精品度假公寓,11,15:56,16:15,104.048882,30.66893
104,2018/4/21,2,锦里小吃街,12,17:32,17:49,104.049882,30.647148
105,2018/4/21,1,全季酒店(成都高新店),13,18:14,18:37,104.06613,30.54345
106,2018/4/21,1,高地中心,14,18:50,19:15,104.104144,30.668813
107,2018/4/21,4,天湖宾馆,15,19:24,19:36,104.065848,30.684508
108,2018/4/21,2,新鸿社区,16,20:10,20:36,104.104019,30.660452
109,2018/4/21,1,格兰威尔酒店(阳光地带东),17,20:18,20:39,104.017316,30.692503
110,2018/4/21,1,成都馨乐庭城南服务公寓,18,20:30,20:56,104.066272,30.547026
111,2018/4/21,1,慕和南道,19,20:39,21:24,104.050862,30.528037
112,2018/4/21,1,成都瑞庭连锁酒店(晨辉二街店),20,21:10,21:28,104.10468,30.61234
113,2018/4/21,1,泛悦国际,20,21:27,21:28,104.079355,30.613172
114,2018/4/21,1,西二道街口,21,21:26,21:49,104.056079,30.672683
115,2018/4/21,2,锦江宾馆,21,21:39,21:49,104.064678,30.648456
116,2018/4/21,1,四川省地方税务局,22,21:49,22:15,104.075832,30.645017
117,2018/4/21,1,阳光金沙,22,21:53,22:15,104.011355,30.69054
118,2018/4/21,1,东客站,23,21:52,22:15,104.140903,30.622395
119,2018/4/21,2,成都斑斓家民宿九眼桥店,23,22:02,22:15,104.092316,30.643276
120,2018/4/21,1,西南交通大学(九里校区),24,22:59,23:14,104.053006,30.698733
121,2018/4/21,1,康河郦景,25,23:04,23:31,104.02455,30.65046
122,2018/4/21,1,神仙树大院,25,23:17,23:31,104.043296,30.616511
123,2018/4/21,1,沙河堡医院,26,23:17,23:39,104.126436,30.617672
124,2018/4/21,1,四川大学,27,23:41,0:04,104.085486,30.629794
125,2018/4/21,1,锦洲花园,27,23:53,0:04,104.094935,30.62383
126,2018/4/21,1,爱家馨城,28,23:55,0:17,104.028448,30.637489
127,2018/4/21,1,康河郦景,28,23:57,0:17,104.02455,30.65046
128,2018/4/21,1,伊丽特酒店,29,0:03,0:18,104.085958,30.694096
129,2018/4/21,1,金茂假日,29,0:03,0:18,104.092627,30.643162
130,2018/4/21,1,金茂假日,29,0:03,0:18,104.092627,30.643162
131,2018/4/21,1,成都瑞思博雅酒店,28,0:10,0:17,104.055037,30.672764
132,2018/4/21,1,成都站,29,0:12,0:18,104.073403,30.696772
133,2018/4/21,1,太平园,30,0:22,0:39,104.018008,30.620858
134,2018/4/21,1,成都希尔顿酒店,31,0:24,0:44,104.068142,30.549534
135,2018/4/21,1,环球中心,31,0:25,0:44,104.063117,30.568738
136,2018/4/21,1,蓝光云鼎,30,0:25,0:39,104.027704,30.687387
137,2018/4/21,2,锦江之星酒店(成都白果林地铁站店),32,0:46,1:08,104.032356,30.675341
138,2018/4/21,1,泡桐树公寓,32,0:50,1:08,104.052431,30.665589
139,2018/4/21,1,龙腾小区,33,1:16,1:37,104.015716,30.653256
140,2018/4/21,2,成都轩雅映月酒店,34,1:17,1:35,104.07553,30.652681
141,2018/4/21,1,福顺苑-西门,33,1:21,1:37,104.074221,30.703386
142,2018/4/21,1,时代天骄,34,1:26,1:35,104.082825,30.672475
143,2018/4/21,1,礼顿酒店,34,1:27,1:35,104.086725,30.66449
144,2018/4/21,1,二环路西二段77号院,35,1:38,2:04,104.020704,30.671691
145,2018/4/21,1,成都站,36,1:44,2:05,104.073403,30.696772
146,2018/4/21,1,金楠国际,35,1:47,2:04,104.013507,30.633525
147,2018/4/21,1,锦江之星酒店(成都春熙路王府井店),36,1:49,2:05,104.076291,30.654189
148,2018/4/21,1,山水时尚酒店(九眼桥店),37,2:13,2:37,104.092476,30.643636
149,2018/4/21,1,一品荷花,37,2:28,2:37,104.080588,30.696709
150,2018/4/21,2,三环航天立交北内侧-公交车站,38,2:43,,104.14103,30.61157
151,2018/4/21,1,赛格广场,39,2:46,,104.077502,30.665291
152,2018/4/21,2,美城云庭,40,2:49,,104.045195,30.534372
153,2018/4/21,1,布丁酒店(成都一品天下蜀汉路东地铁站店),39,2:51,,104.031433,30.683886
