No,日期,到达人数,目的地,共乘序号,到达时间（验票时间）,上车时间,lng,lat
0,2018/4/20,1,新城市广场,1,9:52,10:18,104.057651,30.67383
1,2018/4/20,1,太成宾馆,1,10:11,10:18,104.053237,30.646505
2,2018/4/20,1,成都外双楠希尔顿欢朋酒店,2,11:03,11:14,103.994865,30.649418
3,2018/4/20,1,西岸蒂景A座,3,11:13,11:39,104.053962,30.674086
4,2018/4/20,1,7天酒店(成都春熙路盐市口店),4,12:40,12:55,104.078304,30.657437
5,2018/4/20,1,禾嘉利好,4,12:31,12:55,104.084367,30.696078
6,2018/4/20,4,成都盛铂仕丹酒店武侯祠店,5,13:18,13:46,104.01362,30.64666
7,2018/4/20,2,成都中心世茂睿选尚品酒店,6,14:00,14:30,104.07665,30.65986
8,2018/4/20,2,成都宽窄巷子希尔顿欢朋酒店,7,14:47,14:59,104.05283,30.68131
9,2018/4/20,1,肖家河北街,8,15:48,15:59,104.042849,30.633738
10,2018/4/20,1,成都东站,9,16:55,17:05,104.141625,30.62886
11,2018/4/20,2,华西国际,10,17:16,17:36,104.058951,30.643685
12,2018/4/20,4,首座万丽,11,17:29,17:58,104.066565,30.612248
13,2018/4/20,1,何日君酒店(人南店),12,17:48,18:12,104.06642,30.624537
14,2018/4/20,2,新品汉庭酒店成都天府广场盐市口店,13,19:58,20:23,104.06962,30.66015
15,2018/4/20,2,成都印主题城市别墅酒店名流花园店,14,20:03,20:23,104.002619,30.653294
16,2018/4/20,1,玉林会所（玉林店）,13,20:03,20:23,104.060474,30.62651
17,2018/4/20,1,安逸酒店(成都西南财大地铁站店),14,20:18,20:23,104.077778,30.654769
18,2018/4/20,1,汉庭酒店(宽窄巷子新店),15,20:47,21:07,104.053891,30.66818
19,2018/4/20,1,成都埃菲尔国际酒店,15,20:49,21:07,104.027287,30.632327
20,2018/4/20,1,天晴国际青年客栈,16,20:57,21:20,104.042952,30.654906
21,2018/4/20,1,瑞升望江橡树林,16,21:10,21:20,104.091832,30.622495
22,2018/4/20,1,成都东站东广场,17,21:22,21:46,104.143974,30.628064
23,2018/4/20,1,维也纳酒店(成都春熙路天府广场地铁站店),17,21:34,21:46,104.065751,30.657453
24,2018/4/20,1,成都万友睿柏云酒店,18,21:44,22:11,104.10337,30.60094
25,2018/4/20,2,金茂光明城市,19,21:46,22:12,104.046359,30.527427
26,2018/4/20,1,紫竹苑,18,21:54,22:11,104.05252,30.615756
27,2018/4/20,1,cpe大楼,19,22:02,22:12,104.067368,30.545046
28,2018/4/20,2,成都轩雅映月酒店,20,22:02,22:29,104.07553,30.652681
29,2018/4/20,1,成都西门智选假日酒店-停车场,20,22:07,22:29,104.029866,30.636913
30,2018/4/20,4,宽窄巷子,21,22:03,22:13,104.053617,30.663833
31,2018/4/20,1,金河宾馆,20,22:20,22:29,104.056091,30.661776
32,2018/4/20,4,如家快捷酒店成都春熙路太古里书院街站,22,22:19,22:39,104.07773,30.656547
33,2018/4/20,2,成都芙蓉饭店,23,22:19,22:41,104.058902,30.670086
34,2018/4/20,2,科甲大厦,23,22:29,22:41,104.079342,30.656251
35,2018/4/20,1,成都尚锦和美春熙太古里酒店,24,22:44,23:06,104.08493,30.651925
36,2018/4/20,1,成都高新实验中学新北校区,24,22:50,23:06,104.038652,30.603918
37,2018/4/20,1,海滨铂雅酒店,24,22:54,23:06,104.103951,30.713386
38,2018/4/20,1,金科一城,24,22:56,23:06,104.111817,30.711406
39,2018/4/20,1,一号线火车北站地铁站,25,23:01,23:25,104.073972,30.695568
40,2018/4/20,1,中国工商银行(天顺路支行),25,23:07,23:25,104.071246,30.591621
41,2018/4/20,2,景茂城果,26,23:06,23:25,104.06927,30.52827
42,2018/4/20,1,丽景华庭,27,23:13,23:36,104.015689,30.651247
43,2018/4/20,4,世纪城,28,23:24,23:36,104.071362,30.556128
44,2018/4/20,2,成都寓尊精品公寓,29,23:33,23:46,104.06899,30.66576
45,2018/4/20,1,成都花园,30,23:44,0:08,104.011714,30.655637
46,2018/4/20,1,南苑B区,31,23:46,0:11,104.05696,30.57472
47,2018/4/20,2,成都瑞欣酒店,30,0:03,0:08,104.052029,30.675318
48,2018/4/20,1,七天快捷主题公寓(成都东站店),32,0:03,0:12,104.14078,30.62881
49,2018/4/20,1,智慧康城,33,0:08,0:25,104.046605,30.709158
50,2018/4/20,2,桔子酒店精选(成都顺城店),33,0:11,0:25,104.072594,30.666769
51,2018/4/20,1,百世酒店,33,0:18,0:25,104.086735,30.651399
52,2018/4/20,1,华润幸福里,34,0:20,0:43,104.119337,30.610139
53,2018/4/20,1,锦江之星酒店(成都金仙桥店),34,0:30,0:43,104.052196,30.67722
54,2018/4/20,1,艺家风格酒店,35,0:25,0:48,104.011298,30.695041
55,2018/4/20,1,华林南苑,36,0:42,1:09,104.139872,30.682812
56,2018/4/20,1,东方广场,36,0:46,1:09,104.090021,30.647671
57,2018/4/20,1,四川省社会科学院,36,0:46,1:09,104.041584,30.653032
58,2018/4/20,1,成都索菲斯民族大酒店,37,0:52,1:10,104.045867,30.673148
59,2018/4/20,1,如家精选酒店(太古里天祥街店),37,0:49,1:10,104.083726,30.653334
60,2018/4/20,1,西门车站,37,0:49,1:10,104.0433,30.684417
61,2018/4/20,1,成都现代城,38,1:11,1:26,104.048827,30.652994
62,2018/4/20,1,圣沅汇景樱桃季,39,1:17,1:31,104.015558,30.642351
63,2018/4/20,1,桔子酒店精选(成都环球中心店),39,1:22,1:31,104.086167,30.654578
64,2018/4/20,1,清溪西路,39,1:21,1:31,104.022406,30.678537
65,2018/4/20,1,三四五时尚,39,1:22,1:31,104.02472,30.62919
66,2018/4/20,4,成都如客酒店,40,1:23,1:31,104.03712,30.63956
67,2018/4/20,1,福兴苑,41,1:30,1:47,104.019548,30.694275
68,2018/4/20,1,尊宝披萨意式休闲餐厅,41,1:28,1:47,104.078036,30.65792
69,2018/4/20,2,成都初见精品公寓,42,1:36,1:46,104.08652,30.66134
70,2018/4/20,2,锦江之星酒店(成都文殊坊店),42,1:32,1:46,104.072553,30.670975
71,2018/4/20,2,家益欣城,43,1:34,1:58,104.051227,30.53137
72,2018/4/20,1,如家快捷酒店(成都华西医大省体育馆地铁站店),44,1:38,1:57,104.06353,30.62944
73,2018/4/20,1,净居寺,45,1:50,2:04,104.108307,30.622849
74,2018/4/20,1,新品汉庭酒店成都科华北路四川大学店,45,1:54,2:04,104.077368,30.633977
75,2018/4/20,1,成都东站,45,1:46,2:04,104.141625,30.62886
76,2018/4/20,1,一环路东二段,46,2:07,2:20,104.101906,30.663195
77,2018/4/20,1,高碑瑞苑,47,2:07,2:29,104.0052,30.627283
78,2018/4/20,1,四威大厦,48,2:13,2:40,104.042138,30.684551
79,2018/4/20,1,天香包点(天香店),48,2:17,2:40,104.058616,30.539705
80,2018/4/20,1,白云花园,47,2:19,2:29,104.085828,30.607707
81,2018/4/20,1,三四五时尚,49,2:19,2:39,104.02472,30.62919
82,2018/4/20,1,茶店子,49,2:23,2:39,104.027434,30.697177
83,2018/4/20,1,南馨苑,49,2:25,2:39,104.053627,30.612278
84,2018/4/20,2,hewoo筑梦空间青年公寓(成都东站店),50,2:40,3:05,104.14078,30.62881
85,2018/4/20,1,浅水半岛,50,2:40,3:05,104.106125,30.686346
86,2018/4/20,1,徒行陌客青年旅舍(成都宽窄巷子店),51,2:51,3:04,104.048143,30.666185
87,2018/4/20,1,武侯祠,,3:03,,104.048658,30.64542
88,2018/4/20,1,西单商场,,3:04,,104.000441,30.674786
89,2018/4/20,1,撒哈拉何兮青年空间,,3:01,,104.067413,30.643081
90,2018/4/20,1,高笋塘站,,3:10,,104.090515,30.693499
91,2018/4/21,1,首座万豪酒店,1,9:47,10:03,104.068868,30.586267
