No,日期,到达人数,目的地,共乘序号,到达时间（验票时间）,上车时间,lng,lat
314,2018/4/24,1,星宇·蜀居主题酒店(成都春熙路太古里店),1,9:43,10:10,104.078304,30.657437
315,2018/4/24,1,一品天下,1,9:48,10:10,104.02073,30.688654
316,2018/4/24,1,中铁二院职工食堂,1,10:02,10:10,104.059349,30.682298
317,2018/4/24,4,西姆善居酒店,2,10:23,10:37,104.06148,30.65461
318,2018/4/24,1,雅颂居-2期,3,10:36,11:03,104.044915,30.552357
319,2018/4/24,1,新里维多利亚公寓,4,10:50,11:18,104.04147,30.61378
320,2018/4/24,2,成都斯维登度假公寓(力迅领筑商务区),5,11:44,12:07,104.012978,30.647972
321,2018/4/24,1,红树湾,6,12:16,12:39,104.08312,30.548252
322,2018/4/24,1,成都长江公寓(会展店),7,13:26,13:43,104.06797,30.554604
323,2018/4/24,1,世纪城,7,13:21,13:43,104.071362,30.556128
324,2018/4/24,2,武侯祠,8,13:28,13:43,104.048658,30.64542
325,2018/4/24,4,西姆善居酒店,9,13:24,13:43,104.06148,30.65461
326,2018/4/24,1,东风路,10,14:18,14:42,104.092628,30.651445
327,2018/4/24,1,桔子酒店精选(武侯祠店),10,14:23,14:42,104.048732,30.643515
328,2018/4/24,1,华润广场-a座,11,16:15,16:37,104.089729,30.61968
329,2018/4/24,1,巴中宾馆,11,16:14,16:37,104.080383,30.667392
330,2018/4/24,1,世纪城,12,16:43,17:11,104.071362,30.556128
331,2018/4/24,2,凯美酒店(九眼桥店),13,16:48,17:11,104.089868,30.643006
332,2018/4/24,4,青桐城市酒店,14,17:34,17:55,104.048472,30.682733
333,2018/4/24,1,雅颂居,15,17:50,18:14,104.044596,30.552608
334,2018/4/24,1,无国界,15,18:09,18:14,104.061563,30.549035
335,2018/4/24,1,成都途家斯维登度假公寓(福年广场店),15,18:04,18:14,104.065322,30.547871
336,2018/4/24,1,正熙国际,16,18:53,19:16,104.078628,30.653662
337,2018/4/24,1,积木公寓(中航店),17,20:32,20:50,104.06123,30.57839
338,2018/4/24,2,成都巴蜀之家度假公寓,18,21:09,21:15,104.070193,30.666155
339,2018/4/24,1,世代锦江,18,20:49,21:15,104.062414,30.648257
340,2018/4/24,1,吾桐里国际青年客栈,19,21:47,22:11,104.045374,30.651983
341,2018/4/24,1,泰合索菲特大饭店,19,21:59,22:11,104.068727,30.647337
342,2018/4/24,1,花园饭店,19,22:00,22:11,104.095071,30.649753
343,2018/4/24,1,锦江之星酒店(成都文殊坊店),20,22:31,22:56,104.072553,30.670975
344,2018/4/24,1,成都梦之旅国际青年旅舍(武侯祠锦里店),20,22:41,22:56,104.047299,30.643929
345,2018/4/24,1,成都理工大学,21,22:59,23:23,104.147257,30.674912
346,2018/4/24,1,积木公寓(中航店),21,22:58,23:23,104.06123,30.57839
347,2018/4/24,2,威登酒店,22,23:16,23:36,104.07671,30.660683
348,2018/4/24,1,成都市天府实验学校,23,23:39,0:05,104.038166,30.541795
349,2018/4/24,2,成都优途逸家公寓,24,23:46,0:11,104.08165,30.66226
350,2018/4/24,1,火车南站,24,23:52,0:11,104.068464,30.605893
351,2018/4/24,2,全季酒店(火车东站店),25,23:59,0:22,104.07925,30.652208
