No,日期,到达人数,目的地,共乘序号,到达时间（验票时间）,上车时间,lng,lat
460,2018/4/26,1,三环路娇子立交桥西-公交车站,1,8:55,9:20,104.127099,30.600289
461,2018/4/26,2,八宝大酒店,2,9:12,9:21,104.061489,30.670611
462,2018/4/26,1,雅尚公寓(春熙店),3,9:44,10:10,104.08589,30.66202
463,2018/4/26,1,成都蓉城云熙精品名宿公寓,3,9:50,10:10,104.070984,30.66947
464,2018/4/26,1,7天酒店(成都武侯祠华西医院店),3,9:49,10:10,104.059521,30.645347
465,2018/4/26,2,成都梦之旅国际青年旅舍(武侯祠锦里店),4,10:02,10:22,104.047299,30.643929
466,2018/4/26,1,99旅馆(川大店),5,11:05,11:18,104.026639,30.69304
467,2018/4/26,1,全季酒店(成都太古里滨江路店),5,10:54,11:18,104.079441,30.657369
468,2018/4/26,1,金域名人国际酒店,6,14:24,14:47,104.058042,30.608416
469,2018/4/26,1,人民中路,7,14:47,15:13,104.071919,30.677937
470,2018/4/26,2,武侯祠,7,14:59,15:13,104.048658,30.64542
471,2018/4/26,2,成都初见精品公寓,8,14:56,15:27,104.08652,30.66134
472,2018/4/26,1,成都东站,9,16:03,16:19,104.141625,30.62886
473,2018/4/26,1,四川省人民医院,9,15:56,16:19,104.039636,30.663642
474,2018/4/26,4,图腾铂雅酒店,10,16:21,16:29,104.081084,30.607655
475,2018/4/26,2,如家快捷酒店(成都新南门店),11,16:48,16:59,104.015872,30.637465
476,2018/4/26,2,成都传家合院精品管家酒店（传家合院主题酒店）,11,16:36,16:59,104.057769,30.645629
477,2018/4/26,4,瑞廷西郊酒店,12,16:49,17:00,104.04663,30.55893
478,2018/4/26,4,美丽云天,13,16:51,17:04,104.021126,30.665652
479,2018/4/26,4,瑞廷西郊酒店,14,16:49,17:15,104.04663,30.55893
480,2018/4/26,4,瑞廷西郊酒店,15,16:49,17:15,104.04663,30.55893
481,2018/4/26,2,美丽豪酒店(成都宽窄巷子店),16,17:22,17:44,104.04861,30.678235
482,2018/4/26,2,龙湖北城,16,17:41,17:44,104.068536,30.711184
483,2018/4/26,1,慕森主题,17,17:42,17:58,104.103671,30.712682
484,2018/4/26,2,成都朴院精品酒店,17,17:45,17:58,104.077141,30.641503
485,2018/4/26,1,一叶一世界藏茶素食火锅(春熙路店),18,19:00,19:21,104.082358,30.651647
486,2018/4/26,2,成都明德坊酒店,19,19:57,20:23,104.05159,30.664057
487,2018/4/26,2,成都行者居别墅客栈-印象店,20,20:22,20:47,104.001786,30.652939
488,2018/4/26,1,富丽东方-和美东路,21,20:24,20:47,104.154977,30.630737
489,2018/4/26,4,7天连锁酒店(成都春熙路步行街店),22,21:25,21:35,104.078304,30.657437
490,2018/4/26,1,成都青巢·宽窄精品主题服务公寓,23,21:23,21:35,104.045441,30.680294
491,2018/4/26,1,如家快捷酒店(四川师范大学店),23,21:21,21:35,104.115977,30.609599
492,2018/4/26,2,玉皇观街1号院,24,21:35,21:57,104.088966,30.665424
493,2018/4/26,1,华西坝,25,22:08,22:30,104.066279,30.642821
494,2018/4/26,1,瑞泰锦城,26,22:15,22:39,103.998507,30.648252
495,2018/4/26,1,中海翠屏湾,26,22:27,22:39,104.051936,30.599671
496,2018/4/26,1,保利中心C座,27,22:29,22:54,104.071625,30.625062
497,2018/4/26,1,白果林,27,22:33,22:54,104.036285,30.672558
498,2018/4/26,4,城市理想A座,28,22:35,22:42,104.067498,30.654819
499,2018/4/26,1,布丁酒店(成都华西医大黉门街店),27,22:38,22:54,104.061764,30.645772
500,2018/4/26,1,心族宾馆,29,22:49,23:10,104.066262,30.623069
501,2018/4/26,1,群康路51号,30,22:58,23:20,104.018174,30.667152
502,2018/4/26,1,锦江之星酒店(成都武侯祠体育学院店),30,22:59,23:20,104.04197,30.65073
503,2018/4/26,1,祥域（成都市青羊区蜀源路2号）,30,23:09,23:20,104.002851,30.674873
504,2018/4/26,1,78号观邸,31,23:36,23:54,104.047692,30.655676
505,2018/4/26,1,红星国际,31,23:36,23:54,104.086029,30.661398
506,2018/4/26,1,成华区桃蹊路,31,23:48,23:54,104.110349,30.683067
507,2018/4/26,1,沙河 路苑,31,23:50,23:54,104.088479,30.699515
508,2018/4/26,1,蓝光富丽东方,32,23:50,0:15,104.154977,30.630737
509,2018/4/26,1,燃灯寺北街,33,23:54,0:16,104.035294,30.645867
510,2018/4/26,1,富力广场,33,23:55,0:16,104.069658,30.665135
511,2018/4/26,2,如家精选酒店(蜀汉路店),33,0:11,0:16,104.026524,30.684059
512,2018/4/26,1,追梦青年旅舍(成都春熙路店),34,0:13,0:23,104.089896,30.654933
513,2018/4/26,2,金城丽景,34,0:13,0:23,104.042531,30.693765
514,2018/4/26,1,上东1号-三期,34,0:13,0:23,104.106853,30.71699
515,2018/4/26,2,龙湖北城天街,35,0:15,0:35,104.068536,30.711184
516,2018/4/26,2,春熙路,36,0:27,0:41,104.078304,30.657437
517,2018/4/26,2,流星花园,36,0:27,0:41,104.085582,30.651219
518,2018/4/26,1,东站,37,0:41,1:05,104.14078,30.62881
519,2018/4/26,1,金控时代广场,38,0:44,1:05,104.061854,30.5536
520,2018/4/26,1,如家精选酒店(蜀汉路店),39,0:17,0:35,104.026524,30.684059
521,2018/4/26,1,如家精选酒店(蜀汉路店),39,0:17,0:35,104.026524,30.684059
522,2018/4/26,1,康河郦景,40,0:52,1:18,104.02455,30.65046
523,2018/4/26,1,7天连锁酒店(成都望江楼店),37,0:58,1:05,104.097928,30.627831
524,2018/4/26,1,如家快捷酒店(成都武侯祠店),40,1:09,1:18,104.055607,30.646869
525,2018/4/26,1,天合凯旋城,40,1:10,1:18,104.001948,30.666586
526,2018/4/26,2,人民北路,41,1:01,1:25,104.079053,30.678868
527,2018/4/26,2,成都新城市广场,42,1:14,1:37,104.057651,30.67383
