No,日期,到达人数,目的地,共乘序号,到达时间（验票时间）,上车时间,lng,lat
387,2018/4/25,1,青羊区国税局,1,9:54,10:04,104.05998,30.674041
388,2018/4/25,2,成都公安局高新分局办证中心,2,9:57,10:26,104.05358,30.63007
389,2018/4/25,1,成都公安局高新分局办证中心,3,10:21,10:41,104.05358,30.63007
390,2018/4/25,1,新国际会展中心,4,10:48,11:10,104.077658,30.553558
391,2018/4/25,2,成都世外桃源酒店,5,11:13,11:37,104.077653,30.629472
392,2018/4/25,1,峰汇中心2号楼,6,11:27,11:52,104.062316,30.54747
393,2018/4/25,1,华西妇产儿童医院,7,11:51,12:12,104.065597,30.639462
394,2018/4/25,1,万年路251号,8,13:21,13:45,104.121241,30.65602
395,2018/4/25,1,熊猫贝贝公寓,9,13:48,14:34,104.06681,30.67139
396,2018/4/25,2,锦里,9,13:48,14:34,104.04997,30.64552
397,2018/4/25,1,世外桃源酒店,10,14:52,15:15,104.077653,30.629472
398,2018/4/25,1,一木依居酒店(天誉店),11,15:15,15:39,104.11124,30.637306
399,2018/4/25,1,星程百花世家酒店,12,17:16,17:40,104.044916,30.658804
400,2018/4/25,2,成都锦江之星杜甫草堂店,13,17:36,18:00,104.03878,30.655396
401,2018/4/25,1,草堂印象酒店,14,18:05,18:28,104.028041,30.663452
402,2018/4/25,1,天誉（成都市锦江区汇源北路99号）,15,19:05,19:20,104.112525,30.636451
403,2018/4/25,1,王府花园,16,20:23,20:47,104.052552,30.631263
404,2018/4/25,1,第六人民医院,16,20:36,20:47,104.147301,30.639219
405,2018/4/25,1,明宇豪雅,17,20:41,20:56,104.091404,30.646709
406,2018/4/25,1,雅颂居,17,20:42,20:56,104.044596,30.552608
407,2018/4/25,4,爱客来精品度假公寓,18,20:48,20:58,104.086196,30.661223
408,2018/4/25,1,成都银行atm(晋阳路),19,20:49,21:18,103.995087,30.649197
409,2018/4/25,1,天誉南庭,20,20:59,21:19,104.109236,30.632991
410,2018/4/25,1,成都富力丽思卡顿酒店,21,21:02,21:19,104.070019,30.663845
411,2018/4/25,1,大鼎戴斯酒店,20,21:04,21:19,104.06855,30.60084
412,2018/4/25,1,九龙怡家酒店,21,21:08,21:19,104.082611,30.665644
413,2018/4/25,1,建设路,22,21:15,21:40,104.103315,30.669066
414,2018/4/25,1,观城,23,22:25,22:50,104.121264,30.646166
415,2018/4/25,1,成都记忆空间服务公寓(太古里店),23,22:38,22:50,104.086861,30.653624
416,2018/4/25,2,星宇蜀居主题酒店,23,22:39,22:50,104.07861,30.65894
417,2018/4/25,1,成华区万年场,24,22:50,23:08,104.115565,30.655615
418,2018/4/25,2,派酒店(成都宽窄巷子店),25,23:24,23:39,104.05063,30.67605
419,2018/4/25,1,维也纳国际酒店(环球中心新会展店),26,23:43,0:09,104.063117,30.568738
420,2018/4/25,1,上东酒店,27,23:44,0:09,104.110579,30.714613
421,2018/4/25,1,盛世草堂,28,23:46,0:10,104.022953,30.66652
422,2018/4/25,1,青羊物业大厦,27,23:46,0:09,104.060372,30.659942
423,2018/4/25,2,汉庭酒店(成都盐市口店),28,23:55,0:10,104.069726,30.653866
424,2018/4/25,2,西姆翰墨酒店,27,0:01,0:09,104.08628,30.661018
425,2018/4/25,1,成都品香四季酒店(世纪城店),29,0:21,0:42,104.068297,30.552391
426,2018/4/25,1,四川省气象局,30,0:22,0:46,104.018506,30.662113
427,2018/4/25,1,绿地之窗,29,0:29,0:42,104.059826,30.55217
