No,日期,到达人数,目的地,共乘序号,到达时间（验票时间）,上车时间,lng,lat
154,2018/4/22,1,撒哈拉何兮青年空间,1,9:25,9:38,104.067413,30.643081
155,2018/4/22,2,长发街,2,10:47,10:59,104.057933,30.666936
156,2018/4/22,2,天府广场,3,9:52,10:19,104.06585,30.657361
157,2018/4/22,1,隐庐巷上生活馆,2,10:38,10:59,104.035609,30.642981
158,2018/4/22,1,祥宇宾馆(新南路店),4,11:29,11:55,104.076712,30.636895
159,2018/4/22,4,新华国际,5,13:39,13:59,104.07217,30.66396
160,2018/4/22,1,华润·紫云府,6,14:52,15:09,104.11787,30.646741
161,2018/4/22,2,都市家园,7,14:08,14:31,104.102977,30.612111
162,2018/4/22,1,天鹅湖公寓,8,15:45,16:04,104.07163,30.55617
163,2018/4/22,1,景茂城果,9,16:38,17:04,104.068675,30.52775
164,2018/4/22,1,四川大学,10,17:07,17:17,104.085486,30.629794
165,2018/4/22,2,成都馨佳缘酒店公寓(宽窄巷子新城市广场店),10,16:57,17:17,104.05705,30.67429
166,2018/4/22,4,富丽花园,11,17:47,17:58,104.073378,30.703406
167,2018/4/22,2,成都远洋太古里,12,18:00,18:26,104.083736,30.652685
168,2018/4/22,1,蓝天小区,12,18:10,18:26,104.079089,30.610808
169,2018/4/22,4,美逸酒店,13,19:23,19:33,104.027023,30.623089
170,2018/4/22,1,地方电力局,14,19:45,20:01,104.034164,30.666598
171,2018/4/22,1,如家快捷酒店(成都电信路华西医大店),15,19:48,20:01,104.063073,30.638876
172,2018/4/22,1,锦江之星酒店(成都杜甫草堂店),14,19:46,20:01,104.038291,30.655295
173,2018/4/22,1,粼江峰阁,15,19:45,20:01,104.093238,30.63845
174,2018/4/22,1,棕榈泉费尔蒙酒店,16,19:48,20:00,104.069811,30.554829
175,2018/4/22,1,成都漫花园酒店,17,20:48,21:10,104.09826,30.62411
176,2018/4/22,1,天合汇锦城,18,20:52,21:10,104.053746,30.557
177,2018/4/22,1,汉庭酒店(成都五大花园金雁路店),19,21:30,21:57,104.00132,30.6562
178,2018/4/22,1,成都誉峰M4民宿,20,21:30,21:57,104.066541,30.572269
179,2018/4/22,1,汉庭酒店(成都天府广场店),21,21:32,21:57,104.05955,30.658011
180,2018/4/22,1,左岸精品公寓喜年店,21,21:37,21:57,104.082429,30.650054
181,2018/4/22,2,赛云台北路7号院,22,21:54,22:20,104.068498,30.706548
182,2018/4/22,2,正成财富,22,22:14,22:20,104.080583,30.660542
183,2018/4/22,2,成华街九号院,23,22:19,22:33,104.076975,30.681597
184,2018/4/22,2,成都太古里精品酒店公寓,23,22:19,22:33,104.083726,30.653334
185,2018/4/22,1,金地金沙府邸,24,22:36,23:04,104.007164,30.696085
186,2018/4/22,1,客道酒店,24,22:54,23:04,104.080489,30.642166
187,2018/4/22,1,华润凤凰城3期,25,22:51,23:14,104.053193,30.554916
188,2018/4/22,1,河滨丽苑,26,23:05,23:29,104.073225,30.710726
189,2018/4/22,1,河滨雅苑,26,23:08,23:29,104.096109,30.62504
190,2018/4/22,1,流星花园6栋,26,23:07,23:29,104.085582,30.651219
191,2018/4/22,1,金茂·光明城市-2号门,27,23:16,23:42,104.048191,30.526502
192,2018/4/22,1,上东1号3期,28,23:24,23:38,104.106853,30.71699
193,2018/4/22,1,桐梓林壹号,29,23:24,23:43,104.056045,30.604285
194,2018/4/22,1,誉峰东区,30,23:31,23:59,104.057467,30.584514
195,2018/4/22,1,绿洲大酒店,31,23:37,0:00,104.074022,30.665473
196,2018/4/22,1,苏坡立交,30,23:46,23:59,103.990469,30.673707
197,2018/4/22,1,桂溪路中-公交车站,32,0:01,0:29,104.08042,30.603156
198,2018/4/22,1,成都宜家民宿火车南站店,32,0:15,0:29,104.059318,30.60551
199,2018/4/22,1,文翁华府,32,0:18,0:29,104.055026,30.654181
200,2018/4/22,1,国际花园,33,0:20,0:34,104.086589,30.652515
201,2018/4/22,2,汇城港湾,34,0:18,0:42,104.078517,30.546662
202,2018/4/22,1,成都途家斯维登服务公寓阳光米娅店,35,0:23,0:42,104.093307,30.670317
203,2018/4/22,1,成都东站,35,0:27,0:42,104.141625,30.62886
204,2018/4/22,1,如家快捷酒店(成都春熙路步行街店),35,0:38,0:42,104.07773,30.656547
205,2018/4/22,1,蜀都花园,36,0:48,1:04,104.103625,30.644821
206,2018/4/22,1,如家快捷酒店(成都新鸿路店),36,0:47,1:04,104.104772,30.661888
207,2018/4/22,1,西林巷22号,37,1:00,1:21,104.048806,30.682107
208,2018/4/22,1,成都都丽酒店(武侯祠锦里店),36,0:55,1:04,104.060234,30.65363
209,2018/4/22,1,绿地GIC一期,38,1:06,1:21,104.079936,30.618148
210,2018/4/22,1,凤翔云庭,38,1:10,1:21,104.07732,30.72012
211,2018/4/22,1,元度家居汇装饰有限公司(总部),38,1:15,1:21,104.04642,30.65154
212,2018/4/22,2,那些时光精品公寓,39,1:29,1:55,104.0688,30.67258
