No,日期,到达人数,目的地,共乘序号,到达时间（验票时间）,上车时间,lng,lat
225,2018/4/23,1,上东花园四组团,1,9:10,9:35,104.108368,30.601135
226,2018/4/23,1,如家精选酒店(成都春熙路盐市口店),2,10:10,10:20,104.074994,30.642407
227,2018/4/23,1,香槟广场,3,10:17,10:40,104.07948,30.652544
228,2018/4/23,1,锦江之星酒店(成都金仙桥店),4,10:51,11:15,104.052196,30.67722
229,2018/4/23,1,全季酒店(春熙路太古里酒店),4,10:57,11:15,104.08493,30.651925
230,2018/4/23,1,全季酒店(春熙路太古里酒店),4,10:57,11:15,104.08493,30.651925
231,2018/4/23,1,成都南站,5,11:41,12:03,104.068464,30.605893
232,2018/4/23,1,世代锦江国际酒店,6,12:40,13:04,104.061731,30.647914
233,2018/4/23,4,天府丽都喜来登饭店,7,14:36,14:44,104.066453,30.664926
234,2018/4/23,4,世纪城,8,14:37,14:44,104.071362,30.556128
235,2018/4/23,1,宽窄芙蓉精品度假公寓,9,16:18,16:29,104.048882,30.66893
236,2018/4/23,1,桔子酒店精选(成都顺城店),9,16:19,16:29,104.072594,30.666769
237,2018/4/23,1,光明城市,9,16:22,16:29,104.046359,30.527427
238,2018/4/23,1,布衣客栈(成都软件园店),10,17:23,17:49,104.073978,30.541532
239,2018/4/23,2,太古里河畔亚朵酒店,11,18:12,18:18,104.056109,30.65043
240,2018/4/23,2,加州一号酒店,11,17:56,18:18,104.042722,30.686107
241,2018/4/23,1,摩登s酒店,12,18:23,18:33,104.047623,30.643929
242,2018/4/23,1,交大归谷建设派,13,19:11,19:30,104.12791,30.68393
243,2018/4/23,4,成都武侯祠亚朵酒店,14,19:44,19:56,104.05589,30.65069
244,2018/4/23,2,成都季风客栈青年旅舍,15,20:17,20:41,104.049297,30.636317
245,2018/4/23,1,汇翠园,15,20:23,20:41,104.050054,30.592569
246,2018/4/23,1,仁和春天国际花园,16,20:31,20:57,104.052363,30.58677
247,2018/4/23,1,成都博客庄园禅茶酒店,17,20:39,20:58,104.103546,30.712563
248,2018/4/23,1,茶店子地铁站,17,20:37,20:58,104.013692,30.705986
249,2018/4/23,1,东安南路17号大院,18,21:02,21:24,104.089047,30.655837
250,2018/4/23,1,罗浮世家,19,21:26,21:48,104.038171,30.635983
251,2018/4/23,1,汉庭酒店(武侯店),19,21:44,21:48,104.077408,30.623054
252,2018/4/23,1,明宇尚庭主题公寓,20,21:50,22:05,104.058295,30.560051
253,2018/4/23,1,星逸酒店,21,21:54,22:14,104.077251,30.668525
254,2018/4/23,1,春熙路,21,22:01,22:14,104.078304,30.657437
255,2018/4/23,1,锦江之星酒店(成都白果林地铁站店),21,22:05,22:14,104.032356,30.675341
256,2018/4/23,2,成都雅住158连锁酒店锦华店,22,22:09,22:39,104.098769,30.605727
257,2018/4/23,1,财富又一城,23,22:33,22:59,104.095189,30.67867
258,2018/4/23,1,千居朝阳,23,22:41,22:59,104.123289,30.648229
259,2018/4/23,1,碧云天,24,22:49,23:17,104.0312,30.63993
260,2018/4/23,1,维也纳酒店(成都春熙路李家沱地铁站店),25,22:54,23:19,104.077758,30.65552
261,2018/4/23,1,中国邮政储蓄银行(天福街支行),25,22:52,23:19,104.085852,30.650343
262,2018/4/23,1,抚琴西南路,26,23:20,23:43,104.03873,30.676243
263,2018/4/23,2,致瑞雅苑B区,27,23:35,23:59,104.106301,30.609827
264,2018/4/23,2,天遇酒店,28,23:42,0:09,104.067231,30.673184
265,2018/4/23,1,宽窄巷子,28,23:43,0:09,104.053617,30.663833
266,2018/4/23,1,四川省林业干部学校,27,23:50,23:59,104.118256,30.630806
267,2018/4/23,1,品香四季酒店,29,0:21,,104.068297,30.552391
268,2018/4/23,1,品香四季酒店,29,0:21,,104.068297,30.552391
269,2018/4/23,4,成都有客rex电影主题精品酒店,30,0:17,0:29,104.077107,30.657086
270,2018/4/23,1,紫荆名苑,31,0:16,0:28,104.050372,30.615803
271,2018/4/23,1,如家快捷酒店(成都玉沙路店),31,0:15,0:28,104.08391,30.665199
272,2018/4/23,2,成都加悦精品酒店公寓,31,0:11,0:28,104.0675,30.6548
273,2018/4/23,4,成都帝盛君豪酒店,32,0:25,0:38,104.067521,30.667568
274,2018/4/23,2,春熙里酒店(联升巷),33,0:17,0:29,104.078171,30.654518
275,2018/4/23,2,成都记忆旅行度假短租公寓(春熙店),33,0:20,0:29,104.086342,30.66153
276,2018/4/23,1,春熙路,34,0:33,0:39,104.078304,30.657437
277,2018/4/23,1,春熙路,34,0:33,0:39,104.078304,30.657437
278,2018/4/23,2,成都维尼酒店式公寓,34,0:27,0:39,104.068825,30.672511
279,2018/4/23,1,速8酒店(成都茶店子店),35,0:36,0:54,104.028173,30.698518
280,2018/4/23,2,新世纪广场,35,0:41,0:54,104.070042,30.667657
281,2018/4/23,1,建发天府鹭洲,36,0:36,0:58,104.038396,30.552402
282,2018/4/23,1,鼎云顺城,37,0:46,1:06,104.071238,30.669794
283,2018/4/23,2,成都瑞思特酒店,37,0:56,1:06,104.081283,30.660197
284,2018/4/23,1,成都瑞思特酒店,37,0:56,1:06,104.081283,30.660197
285,2018/4/23,4,成都仁和春天酒店(二环路店),38,1:04,1:14,104.019956,30.662995
286,2018/4/23,1,成都行者居别墅客栈——格桑店,39,1:14,1:38,104.00209,30.65291
287,2018/4/23,2,星城银座,40,1:23,1:45,104.07657,30.649417
288,2018/4/23,1,四川师范大学,41,1:47,2:11,104.122659,30.611335
289,2018/4/23,1,如家快捷酒店(成都双桥子经华北路店),41,1:52,2:11,104.107192,30.646828
290,2018/4/23,1,维也纳酒店(成都春熙路天府广场地铁站店),42,1:52,2:12,104.065751,30.657453
291,2018/4/23,1,武侯区盛世路,43,1:50,2:12,104.01861,30.632843
292,2018/4/23,1,龙湖金楠天街,43,1:57,2:12,103.996524,30.648874
293,2018/4/23,1,成都乐居青年公寓,41,2:00,2:11,104.14403,30.62945
294,2018/4/23,1,武侯祠亚朵酒店,42,2:02,2:12,104.05589,30.65069
295,2018/4/23,2,有客REX电影主题,42,2:02,2:12,104.077286,30.656946
296,2018/4/23,4,橙话馨语复式,44,2:08,2:20,104.085564,30.651194
297,2018/4/23,1,群宁街,43,2:07,2:12,104.02062,30.665348
298,2018/4/23,1,全季酒店(成都太古里滨江路店),45,2:16,2:43,104.079441,30.657369
299,2018/4/23,1,新品汉庭酒店成都新会展中心店,46,2:18,2:37,104.0446,30.546833
300,2018/4/23,1,海友酒店(成都玉沙路店),47,2:18,2:28,104.08391,30.665199
301,2018/4/23,1,猛追湾,47,2:20,2:28,104.096916,30.662899
302,2018/4/23,1,东大街下东大街段,48,2:30,2:50,104.081219,30.650957
303,2018/4/23,2,东站,49,2:28,2:50,104.14078,30.62881
304,2018/4/23,1,成都漫果酒店公寓,48,2:37,2:50,104.06742,30.654855
305,2018/4/23,1,乐浮国际青年旅社,48,2:28,2:50,104.079506,30.668671
306,2018/4/23,1,安逸酒店(成都宽窄巷子西店),48,2:39,2:50,104.041667,30.676028
307,2018/4/23,1,御府花都A区,49,2:42,2:50,104.070411,30.59552
308,2018/4/23,1,元景路99号,50,2:43,3:06,104.051549,30.530383
309,2018/4/23,1,如家精选酒店(成都春熙路盐市口店),51,2:50,3:11,104.074994,30.642407
310,2018/4/23,1,成都帽魅·臻选精品主题服务公寓,51,2:55,3:11,104.07129,30.66933
311,2018/4/23,2,浆洗街4号,52,2:59,3:06,104.058415,30.644657
312,2018/4/23,1,四川电力职业培训中心,52,2:58,3:06,104.03057,30.668006
313,2018/4/23,1,博爱医院,53,2:56,3:07,104.087717,30.6534
